Postcode,Month,Capacity (kW)
25XX,2010-07,1975
25XX,2010-08,2107
25XX,2010-09,2357
25XX,2010-10,2623
25XX,2010-11,2777
25XX,2010-12,2443
25XX,2011-01,3682
25XX,2011-02,3714
25XX,2011-03,3679
25XX,2011-04,3043
25XX,2011-05,3500
25XX,2011-06,4211
25XX,2011-07,592
25XX,2011-08,707
25XX,2011-09,490
25XX,2011-10,674
25XX,2011-11,966
25XX,2011-12,906
25XX,2012-01,692
25XX,2012-02,975
25XX,2012-03,1455
25XX,2012-04,1479
25XX,2012-05,2755
25XX,2012-06,4821
25XX,2012-07,1217
25XX,2012-08,1364
25XX,2012-09,1432
25XX,2012-10,1503
25XX,2012-11,1750
25XX,2012-12,2854
25XX,2013-01,1454
25XX,2013-02,1311
25XX,2013-03,1509
25XX,2013-04,1267
25XX,2013-05,1784
25XX,2013-06,1366
25XX,2013-07,1628
25XX,2013-08,1475
25XX,2013-09,1566
25XX,2013-10,1778
25XX,2013-11,1544
25XX,2013-12,1625
25XX,2014-01,1066
25XX,2014-02,1457
25XX,2014-03,1594
25XX,2014-04,1612
25XX,2014-05,1834
25XX,2014-06,1803
25XX,2014-07,2384
25XX,2014-08,1925
25XX,2014-09,2133
25XX,2014-10,2171
25XX,2014-11,2138
25XX,2014-12,2489
25XX,2015-01,1599
25XX,2015-02,2171
25XX,2015-03,1947
25XX,2015-04,1497
25XX,2015-05,2155
25XX,2015-06,2005
25XX,2015-07,1878
25XX,2015-08,2082
25XX,2015-09,2065
25XX,2015-10,1773
25XX,2015-11,1685
25XX,2015-12,1906
25XX,2016-01,965
25XX,2016-02,1476
25XX,2016-03,1581
25XX,2016-04,1327
25XX,2016-05,1917
25XX,2016-06,1588
25XX,2016-07,1639
25XX,2016-08,1633
25XX,2016-09,1791
25XX,2016-10,1770
25XX,2016-11,1866
25XX,2016-12,2394
25XX,2017-01,1235
25XX,2017-02,2040
25XX,2017-03,2626
25XX,2017-04,1871
25XX,2017-05,3000
25XX,2017-06,3041
25XX,2017-07,2646
25XX,2017-08,2753
25XX,2017-09,3251
25XX,2017-10,3917
25XX,2017-11,4436
25XX,2017-12,4650
25XX,2018-01,2954
25XX,2018-02,3438
25XX,2018-03,4512
25XX,2018-04,3986
25XX,2018-05,5345
25XX,2018-06,3897
25XX,2018-07,5895
25XX,2018-08,6276
25XX,2018-09,5392
25XX,2018-10,5807
25XX,2018-11,7023
25XX,2018-12,8677
25XX,2019-01,5205
25XX,2019-02,7154
25XX,2019-03,7264
25XX,2019-04,6901
25XX,2019-05,7822
25XX,2019-06,6849
25XX,2019-07,8639
25XX,2019-08,7637
25XX,2019-09,8760
25XX,2019-10,9873
25XX,2019-11,10576
25XX,2019-12,11068
25XX,2020-01,6977
25XX,2020-02,8835
25XX,2020-03,10281
25XX,2020-04,9756
25XX,2020-05,10281
25XX,2020-06,12092
25XX,2020-07,12451
25XX,2020-08,13122
25XX,2020-09,14288
25XX,2020-10,12278
25XX,2020-11,14603
25XX,2020-12,15974
25XX,2021-01,10208
25XX,2021-02,13732
25XX,2021-03,15344
25XX,2021-04,14362
25XX,2021-05,12120
25XX,2021-06,12936
25XX,2021-07,10812
25XX,2021-08,10512
25XX,2021-09,13723
25XX,2021-10,12323
25XX,2021-11,12946
25XX,2021-12,16201
25XX,2022-01,6595
25XX,2022-02,9395
25XX,2022-03,9311
25XX,2022-04,8779
25XX,2022-05,9680
25XX,2022-06,12528
25XX,2022-07,10356
25XX,2022-08,12610
25XX,2022-09,10569
25XX,2022-10,10826
25XX,2022-11,13800
25XX,2022-12,9067
28XX,2007-01,0
28XX,2007-02,7
28XX,2007-03,9
28XX,2007-04,18
28XX,2007-05,10
28XX,2007-06,4
28XX,2007-07,7
28XX,2007-08,10
28XX,2007-09,3
28XX,2007-10,8
28XX,2007-11,12
28XX,2007-12,14
28XX,2008-01,12
28XX,2008-02,9
28XX,2008-03,16
28XX,2008-04,12
28XX,2008-05,12
28XX,2008-06,5
28XX,2008-07,9
28XX,2008-08,20
28XX,2008-09,10
28XX,2008-10,16
28XX,2008-11,17
28XX,2008-12,45
28XX,2009-01,57
28XX,2009-02,38
28XX,2009-03,51
28XX,2009-04,74
28XX,2009-05,128
28XX,2009-06,25
28XX,2009-07,95
28XX,2009-08,83
28XX,2009-09,82
28XX,2009-10,93
28XX,2009-11,117
28XX,2009-12,222
28XX,2010-01,59
28XX,2010-02,60
28XX,2010-03,175
28XX,2010-04,119
28XX,2010-05,168
28XX,2010-06,309
28XX,2010-07,438
28XX,2010-08,440
28XX,2010-09,920
28XX,2010-10,1454
28XX,2010-11,1348
28XX,2010-12,778
28XX,2011-01,1507
28XX,2011-02,2083
28XX,2011-03,2718
28XX,2011-04,2523
28XX,2011-05,2701
28XX,2011-06,2129
28XX,2011-07,575
28XX,2011-08,252
28XX,2011-09,360
28XX,2011-10,568
28XX,2011-11,285
28XX,2011-12,307
28XX,2012-01,358
28XX,2012-02,577
28XX,2012-03,228
28XX,2012-04,377
28XX,2012-05,885
28XX,2012-06,1371
28XX,2012-07,381
28XX,2012-08,395
28XX,2012-09,497
28XX,2012-10,800
28XX,2012-11,772
28XX,2012-12,1146
28XX,2013-01,724
28XX,2013-02,920
28XX,2013-03,1183
28XX,2013-04,1100
28XX,2013-05,1433
28XX,2013-06,1130
28XX,2013-07,1102
28XX,2013-08,1263
28XX,2013-09,949
28XX,2013-10,1102
28XX,2013-11,1218
28XX,2013-12,908
28XX,2014-01,889
28XX,2014-02,715
28XX,2014-03,893
28XX,2014-04,982
28XX,2014-05,970
28XX,2014-06,853
28XX,2014-07,771
28XX,2014-08,1179
28XX,2014-09,817
28XX,2014-10,809
28XX,2014-11,1130
28XX,2014-12,845
28XX,2015-01,422
28XX,2015-02,1027
28XX,2015-03,1028
28XX,2015-04,1216
28XX,2015-05,1374
28XX,2015-06,832
28XX,2015-07,1581
28XX,2015-08,1265
28XX,2015-09,1432
28XX,2015-10,1187
28XX,2015-11,1252
28XX,2015-12,917
28XX,2016-01,872
28XX,2016-02,1133
28XX,2016-03,740
28XX,2016-04,866
28XX,2016-05,925
28XX,2016-06,926
28XX,2016-07,1054
28XX,2016-08,929
28XX,2016-09,1367
28XX,2016-10,1147
28XX,2016-11,858
28XX,2016-12,1549
28XX,2017-01,676
28XX,2017-02,1216
28XX,2017-03,1349
28XX,2017-04,1037
28XX,2017-05,1155
28XX,2017-06,1374
28XX,2017-07,1404
28XX,2017-08,980
28XX,2017-09,1301
28XX,2017-10,1657
28XX,2017-11,2176
28XX,2017-12,2043
28XX,2018-01,1171
28XX,2018-02,1727
28XX,2018-03,2339
28XX,2018-04,2094
28XX,2018-05,1934
28XX,2018-06,2161
28XX,2018-07,1814
28XX,2018-08,2363
28XX,2018-09,2283
28XX,2018-10,2230
28XX,2018-11,2649
28XX,2018-12,2682
28XX,2019-01,1307
28XX,2019-02,2216
28XX,2019-03,2620
28XX,2019-04,2370
28XX,2019-05,3258
28XX,2019-06,2630
28XX,2019-07,3213
28XX,2019-08,3320
28XX,2019-09,3211
28XX,2019-10,2946
28XX,2019-11,4197
28XX,2019-12,3605
28XX,2020-01,2252
28XX,2020-02,2964
28XX,2020-03,4020
28XX,2020-04,2656
28XX,2020-05,3001
28XX,2020-06,3244
28XX,2020-07,3400
28XX,2020-08,2938
28XX,2020-09,3437
28XX,2020-10,3020
28XX,2020-11,4443
28XX,2020-12,4476
28XX,2021-01,2039
28XX,2021-02,3214
28XX,2021-03,3534
28XX,2021-04,3235
28XX,2021-05,3731
28XX,2021-06,4437
28XX,2021-07,3759
28XX,2021-08,2341
28XX,2021-09,3170
28XX,2021-10,2926
28XX,2021-11,3112
28XX,2021-12,4863
28XX,2022-01,2212
28XX,2022-02,4612
28XX,2022-03,3591
28XX,2022-04,3001
28XX,2022-05,2456
28XX,2022-06,2710
28XX,2022-07,2649
28XX,2022-08,2832
28XX,2022-09,3146
28XX,2022-10,2015
28XX,2022-11,2958
28XX,2022-12,2062
27XX,2007-01,0
27XX,2007-02,1
27XX,2007-03,2
27XX,2007-04,6
27XX,2007-05,2
27XX,2007-06,4
27XX,2007-07,4
27XX,2007-08,11
27XX,2007-09,11
27XX,2007-10,22
27XX,2007-11,15
27XX,2007-12,15
27XX,2008-01,20
27XX,2008-02,29
27XX,2008-03,20
27XX,2008-04,30
27XX,2008-05,43
27XX,2008-06,27
27XX,2008-07,31
27XX,2008-08,36
27XX,2008-09,53
27XX,2008-10,62
27XX,2008-11,41
27XX,2008-12,64
27XX,2009-01,62
27XX,2009-02,100
27XX,2009-03,248
27XX,2009-04,138
27XX,2009-05,134
27XX,2009-06,104
27XX,2009-07,141
27XX,2009-08,164
27XX,2009-09,217
27XX,2009-10,243
27XX,2009-11,278
27XX,2009-12,292
27XX,2010-01,294
27XX,2010-02,432
27XX,2010-03,634
27XX,2010-04,832
27XX,2010-05,953
27XX,2010-06,1482
27XX,2010-07,1604
27XX,2010-08,1813
27XX,2010-09,2214
27XX,2010-10,2191
27XX,2010-11,2608
27XX,2010-12,1442
27XX,2011-01,2626
27XX,2011-02,2324
27XX,2011-03,2786
27XX,2011-04,2370
27XX,2011-05,2638
27XX,2011-06,3022
27XX,2011-07,474
27XX,2011-08,539
27XX,2011-09,537
27XX,2011-10,641
27XX,2011-11,1511
27XX,2011-12,674
27XX,2012-01,504
27XX,2012-02,796
27XX,2012-03,1216
27XX,2012-04,1337
27XX,2012-05,2578
27XX,2012-06,3784
27XX,2012-07,945
27XX,2012-08,1421
27XX,2012-09,1158
27XX,2012-10,1626
27XX,2012-11,1402
27XX,2012-12,2427
27XX,2013-01,1298
27XX,2013-02,1358
27XX,2013-03,1463
27XX,2013-04,1315
27XX,2013-05,1618
27XX,2013-06,1348
27XX,2013-07,1656
27XX,2013-08,1378
27XX,2013-09,1415
27XX,2013-10,1750
27XX,2013-11,1408
27XX,2013-12,1628
27XX,2014-01,1194
27XX,2014-02,1392
27XX,2014-03,1480
27XX,2014-04,1524
27XX,2014-05,1690
27XX,2014-06,1961
27XX,2014-07,1985
27XX,2014-08,2019
27XX,2014-09,2172
27XX,2014-10,2077
27XX,2014-11,2346
27XX,2014-12,1911
27XX,2015-01,1717
27XX,2015-02,2310
27XX,2015-03,2092
27XX,2015-04,1335
27XX,2015-05,2019
27XX,2015-06,2207
27XX,2015-07,2001
27XX,2015-08,1994
27XX,2015-09,1875
27XX,2015-10,2175
27XX,2015-11,1876
27XX,2015-12,1989
27XX,2016-01,1196
27XX,2016-02,1612
27XX,2016-03,1739
27XX,2016-04,1905
27XX,2016-05,1861
27XX,2016-06,1633
27XX,2016-07,1462
27XX,2016-08,2184
27XX,2016-09,1996
27XX,2016-10,1951
27XX,2016-11,2390
27XX,2016-12,2658
27XX,2017-01,1163
27XX,2017-02,1836
27XX,2017-03,2145
27XX,2017-04,1637
27XX,2017-05,2343
27XX,2017-06,2341
27XX,2017-07,2536
27XX,2017-08,2697
27XX,2017-09,2525
27XX,2017-10,2921
27XX,2017-11,3532
27XX,2017-12,4488
27XX,2018-01,2508
27XX,2018-02,3691
27XX,2018-03,3617
27XX,2018-04,3515
27XX,2018-05,4483
27XX,2018-06,4183
27XX,2018-07,4826
27XX,2018-08,4869
27XX,2018-09,4408
27XX,2018-10,4529
27XX,2018-11,5427
27XX,2018-12,6002
27XX,2019-01,3565
27XX,2019-02,4820
27XX,2019-03,5489
27XX,2019-04,4209
27XX,2019-05,5870
27XX,2019-06,6425
27XX,2019-07,6815
27XX,2019-08,6978
27XX,2019-09,6545
27XX,2019-10,7594
27XX,2019-11,9519
27XX,2019-12,10792
27XX,2020-01,5921
27XX,2020-02,7099
27XX,2020-03,9390
27XX,2020-04,7040
27XX,2020-05,9964
27XX,2020-06,10345
27XX,2020-07,11854
27XX,2020-08,11297
27XX,2020-09,12819
27XX,2020-10,12270
27XX,2020-11,13727
27XX,2020-12,15228
27XX,2021-01,9997
27XX,2021-02,13227
27XX,2021-03,13736
27XX,2021-04,12987
27XX,2021-05,11097
27XX,2021-06,11737
27XX,2021-07,8573
27XX,2021-08,6544
27XX,2021-09,12263
27XX,2021-10,12025
27XX,2021-11,11427
27XX,2021-12,13081
27XX,2022-01,5893
27XX,2022-02,9259
27XX,2022-03,8637
27XX,2022-04,7016
27XX,2022-05,8964
27XX,2022-06,10782
27XX,2022-07,9214
27XX,2022-08,11024
27XX,2022-09,9902
27XX,2022-10,8825
27XX,2022-11,10710
27XX,2022-12,7354
2XXX,2007-01,26
2XXX,2007-02,43
2XXX,2007-03,44
2XXX,2007-04,45
2XXX,2007-05,54
2XXX,2007-06,63
2XXX,2007-07,124
2XXX,2007-08,142
2XXX,2007-09,189
2XXX,2007-10,201
2XXX,2007-11,190
2XXX,2007-12,241
2XXX,2008-01,288
2XXX,2008-02,262
2XXX,2008-03,291
2XXX,2008-04,303
2XXX,2008-05,337
2XXX,2008-06,281
2XXX,2008-07,377
2XXX,2008-08,383
2XXX,2008-09,446
2XXX,2008-10,503
2XXX,2008-11,482
2XXX,2008-12,717
2XXX,2009-01,616
2XXX,2009-02,862
2XXX,2009-03,1101
2XXX,2009-04,1206
2XXX,2009-05,1213
2XXX,2009-06,1242
2XXX,2009-07,1418
2XXX,2009-08,1882
2XXX,2009-09,2327
2XXX,2009-10,2573
2XXX,2009-11,3020
2XXX,2009-12,2942
2XXX,2010-01,2778
2XXX,2010-02,4153
2XXX,2010-03,6436
2XXX,2010-04,7445
2XXX,2010-05,9784
2XXX,2010-06,14056
2XXX,2010-07,15174
2XXX,2010-08,17046
2XXX,2010-09,19006
2XXX,2010-10,21418
2XXX,2010-11,24508
2XXX,2010-12,16829
2XXX,2011-01,28158
2XXX,2011-02,27225
2XXX,2011-03,30260
2XXX,2011-04,25362
2XXX,2011-05,31523
2XXX,2011-06,37409
2XXX,2011-07,6032
2XXX,2011-08,5163
2XXX,2011-09,4512
2XXX,2011-10,5135
2XXX,2011-11,6314
2XXX,2011-12,5355
2XXX,2012-01,4362
2XXX,2012-02,6123
2XXX,2012-03,8105
2XXX,2012-04,8696
2XXX,2012-05,17894
2XXX,2012-06,31529
2XXX,2012-07,8462
2XXX,2012-08,9432
2XXX,2012-09,9446
2XXX,2012-10,10978
2XXX,2012-11,13233
2XXX,2012-12,21357
2XXX,2013-01,9993
2XXX,2013-02,11651
2XXX,2013-03,11428
2XXX,2013-04,10174
2XXX,2013-05,12375
2XXX,2013-06,10092
2XXX,2013-07,12688
2XXX,2013-08,13349
2XXX,2013-09,13209
2XXX,2013-10,13393
2XXX,2013-11,12015
2XXX,2013-12,11825
2XXX,2014-01,9237
2XXX,2014-02,10507
2XXX,2014-03,11803
2XXX,2014-04,11351
2XXX,2014-05,15019
2XXX,2014-06,13840
2XXX,2014-07,15135
2XXX,2014-08,14814
2XXX,2014-09,17972
2XXX,2014-10,18627
2XXX,2014-11,17385
2XXX,2014-12,16303
2XXX,2015-01,13776
2XXX,2015-02,17332
2XXX,2015-03,16708
2XXX,2015-04,12571
2XXX,2015-05,15597
2XXX,2015-06,15469
2XXX,2015-07,16075
2XXX,2015-08,15249
2XXX,2015-09,14603
2XXX,2015-10,15053
2XXX,2015-11,13967
2XXX,2015-12,13752
2XXX,2016-01,9368
2XXX,2016-02,13245
2XXX,2016-03,12912
2XXX,2016-04,13553
2XXX,2016-05,14297
2XXX,2016-06,12948
2XXX,2016-07,13100
2XXX,2016-08,14618
2XXX,2016-09,14721
2XXX,2016-10,14517
2XXX,2016-11,17144
2XXX,2016-12,22004
2XXX,2017-01,11646
2XXX,2017-02,16838
2XXX,2017-03,19596
2XXX,2017-04,15947
2XXX,2017-05,22081
2XXX,2017-06,21898
2XXX,2017-07,24045
2XXX,2017-08,24158
2XXX,2017-09,23274
2XXX,2017-10,27681
2XXX,2017-11,32401
2XXX,2017-12,35333
2XXX,2018-01,22634
2XXX,2018-02,29089
2XXX,2018-03,33265
2XXX,2018-04,32051
2XXX,2018-05,39347
2XXX,2018-06,33368
2XXX,2018-07,39237
2XXX,2018-08,41318
2XXX,2018-09,37322
2XXX,2018-10,40128
2XXX,2018-11,47356
2XXX,2018-12,51985
2XXX,2019-01,31080
2XXX,2019-02,42744
2XXX,2019-03,44046
2XXX,2019-04,40006
2XXX,2019-05,50047
2XXX,2019-06,46533
2XXX,2019-07,54260
2XXX,2019-08,50540
2XXX,2019-09,54261
2XXX,2019-10,62260
2XXX,2019-11,69788
2XXX,2019-12,77793
2XXX,2020-01,47116
2XXX,2020-02,60105
2XXX,2020-03,70460
2XXX,2020-04,62292
2XXX,2020-05,69438
2XXX,2020-06,77655
2XXX,2020-07,83010
2XXX,2020-08,80297
2XXX,2020-09,90293
2XXX,2020-10,87112
2XXX,2020-11,102404
2XXX,2020-12,111242
2XXX,2021-01,67052
2XXX,2021-02,93096
2XXX,2021-03,98148
2XXX,2021-04,92237
2XXX,2021-05,82381
2XXX,2021-06,86527
2XXX,2021-07,68084
2XXX,2021-08,58385
2XXX,2021-09,84198
2XXX,2021-10,83349
2XXX,2021-11,87492
2XXX,2021-12,104850
2XXX,2022-01,45004
2XXX,2022-02,65126
2XXX,2022-03,64315
2XXX,2022-04,56542
2XXX,2022-05,66688
2XXX,2022-06,79882
2XXX,2022-07,70841
2XXX,2022-08,89850
2XXX,2022-09,77846
2XXX,2022-10,72124
2XXX,2022-11,94640
2XXX,2022-12,63394
29XX,2007-01,0
29XX,2007-02,0
29XX,2007-03,0
29XX,2007-04,1
29XX,2007-05,1
29XX,2007-06,0
29XX,2007-07,1
29XX,2007-08,0
29XX,2007-09,0
29XX,2007-10,2
29XX,2007-11,3
29XX,2007-12,8
29XX,2008-01,4
29XX,2008-02,5
29XX,2008-03,11
29XX,2008-04,4
29XX,2008-05,3
29XX,2008-06,7
29XX,2008-07,5
29XX,2008-08,13
29XX,2008-09,17
29XX,2008-10,20
29XX,2008-11,5
29XX,2008-12,9
29XX,2009-01,10
29XX,2009-02,16
29XX,2009-03,11
29XX,2009-04,14
29XX,2009-05,19
29XX,2009-06,14
29XX,2009-07,12
29XX,2009-08,51
29XX,2009-09,54
29XX,2009-10,64
29XX,2009-11,64
29XX,2009-12,50
29XX,2010-01,52
29XX,2010-02,79
29XX,2010-03,95
29XX,2010-04,174
29XX,2010-05,189
29XX,2010-06,210
29XX,2010-07,108
29XX,2010-08,144
29XX,2010-09,142
29XX,2010-10,161
29XX,2010-11,211
29XX,2010-12,231
29XX,2011-01,279
29XX,2011-02,431
29XX,2011-03,584
29XX,2011-04,669
29XX,2011-05,1345
29XX,2011-06,2294
29XX,2011-07,485
29XX,2011-08,324
29XX,2011-09,203
29XX,2011-10,176
29XX,2011-11,78
29XX,2011-12,80
29XX,2012-01,43
29XX,2012-02,93
29XX,2012-03,109
29XX,2012-04,109
29XX,2012-05,217
29XX,2012-06,298
29XX,2012-07,131
29XX,2012-08,152
29XX,2012-09,136
29XX,2012-10,184
29XX,2012-11,234
29XX,2012-12,409
29XX,2013-01,182
29XX,2013-02,214
29XX,2013-03,222
29XX,2013-04,238
29XX,2013-05,312
29XX,2013-06,239
29XX,2013-07,572
29XX,2013-08,1043
29XX,2013-09,977
29XX,2013-10,243
29XX,2013-11,116
29XX,2013-12,128
29XX,2014-01,93
29XX,2014-02,120
29XX,2014-03,98
29XX,2014-04,130
29XX,2014-05,152
29XX,2014-06,162
29XX,2014-07,170
29XX,2014-08,218
29XX,2014-09,241
29XX,2014-10,223
29XX,2014-11,230
29XX,2014-12,184
29XX,2015-01,340
29XX,2015-02,215
29XX,2015-03,240
29XX,2015-04,114
29XX,2015-05,194
29XX,2015-06,124
29XX,2015-07,175
29XX,2015-08,199
29XX,2015-09,172
29XX,2015-10,132
29XX,2015-11,123
29XX,2015-12,147
29XX,2016-01,111
29XX,2016-02,133
29XX,2016-03,258
29XX,2016-04,177
29XX,2016-05,168
29XX,2016-06,252
29XX,2016-07,251
29XX,2016-08,374
29XX,2016-09,173
29XX,2016-10,261
29XX,2016-11,231
29XX,2016-12,230
29XX,2017-01,281
29XX,2017-02,209
29XX,2017-03,230
29XX,2017-04,197
29XX,2017-05,385
29XX,2017-06,287
29XX,2017-07,285
29XX,2017-08,562
29XX,2017-09,416
29XX,2017-10,577
29XX,2017-11,642
29XX,2017-12,450
29XX,2018-01,520
29XX,2018-02,547
29XX,2018-03,593
29XX,2018-04,473
29XX,2018-05,691
29XX,2018-06,639
29XX,2018-07,817
29XX,2018-08,764
29XX,2018-09,925
29XX,2018-10,889
29XX,2018-11,965
29XX,2018-12,717
29XX,2019-01,801
29XX,2019-02,843
29XX,2019-03,866
29XX,2019-04,813
29XX,2019-05,700
29XX,2019-06,764
29XX,2019-07,1160
29XX,2019-08,1119
29XX,2019-09,1047
29XX,2019-10,1229
29XX,2019-11,1333
29XX,2019-12,1664
29XX,2020-01,1000
29XX,2020-02,1250
29XX,2020-03,1223
29XX,2020-04,1024
29XX,2020-05,1148
29XX,2020-06,1389
29XX,2020-07,2246
29XX,2020-08,1968
29XX,2020-09,2142
29XX,2020-10,1988
29XX,2020-11,2318
29XX,2020-12,2915
29XX,2021-01,1505
29XX,2021-02,1915
29XX,2021-03,1817
29XX,2021-04,1719
29XX,2021-05,1828
29XX,2021-06,1573
29XX,2021-07,2214
29XX,2021-08,1258
29XX,2021-09,2161
29XX,2021-10,2281
29XX,2021-11,3088
29XX,2021-12,3271
29XX,2022-01,2106
29XX,2022-02,2649
29XX,2022-03,2777
29XX,2022-04,2157
29XX,2022-05,2831
29XX,2022-06,3078
29XX,2022-07,3071
29XX,2022-08,3490
29XX,2022-09,3166
29XX,2022-10,2999
29XX,2022-11,4035
29XX,2022-12,2782
