Postcode,Month,Capacity (kW)
21XX,2011-04,3741
21XX,2011-05,4384
21XX,2011-06,6148
21XX,2011-07,492
21XX,2011-08,578
21XX,2011-09,611
21XX,2011-10,843
21XX,2011-11,960
21XX,2011-12,956
21XX,2012-01,809
21XX,2012-02,1050
21XX,2012-03,1559
21XX,2012-04,1741
21XX,2012-05,3733
21XX,2012-06,5950
21XX,2012-07,1168
21XX,2012-08,1335
21XX,2012-09,1355
21XX,2012-10,1444
21XX,2012-11,2011
21XX,2012-12,3574
21XX,2013-01,1506
21XX,2013-02,1496
21XX,2013-03,1275
21XX,2013-04,1145
21XX,2013-05,1474
21XX,2013-06,1149
21XX,2013-07,1192
21XX,2013-08,1087
21XX,2013-09,1404
21XX,2013-10,1455
21XX,2013-11,1429
21XX,2013-12,1425
21XX,2014-01,1141
21XX,2014-02,1374
21XX,2014-03,1373
21XX,2014-04,1441
21XX,2014-05,2230
21XX,2014-06,1882
21XX,2014-07,1891
21XX,2014-08,2016
21XX,2014-09,2879
21XX,2014-10,2591
21XX,2014-11,2545
21XX,2014-12,2199
21XX,2015-01,2215
21XX,2015-02,2423
21XX,2015-03,2102
21XX,2015-04,1724
21XX,2015-05,2135
21XX,2015-06,2166
21XX,2015-07,1983
21XX,2015-08,1962
21XX,2015-09,1558
21XX,2015-10,1997
21XX,2015-11,2098
21XX,2015-12,1843
21XX,2016-01,1052
21XX,2016-02,1872
21XX,2016-03,1992
21XX,2016-04,1842
21XX,2016-05,2602
21XX,2016-06,1640
21XX,2016-07,1866
21XX,2016-08,1737
21XX,2016-09,1772
21XX,2016-10,1844
21XX,2016-11,2257
21XX,2016-12,3104
21XX,2017-01,1819
21XX,2017-02,2194
21XX,2017-03,2409
21XX,2017-04,2532
21XX,2017-05,3206
21XX,2017-06,3213
21XX,2017-07,2952
21XX,2017-08,3492
21XX,2017-09,2531
21XX,2017-10,3088
21XX,2017-11,3531
21XX,2017-12,4541
21XX,2018-01,2916
21XX,2018-02,3552
21XX,2018-03,3982
21XX,2018-04,4887
21XX,2018-05,5161
21XX,2018-06,4138
21XX,2018-07,5829
21XX,2018-08,5644
21XX,2018-09,4663
21XX,2018-10,5399
21XX,2018-11,7429
21XX,2018-12,8097
21XX,2019-01,4358
21XX,2019-02,6280
21XX,2019-03,5707
21XX,2019-04,5405
21XX,2019-05,6663
21XX,2019-06,5875
21XX,2019-07,6904
21XX,2019-08,6975
21XX,2019-09,7232
21XX,2019-10,9439
21XX,2019-11,10755
21XX,2019-12,12911
21XX,2020-01,7679
21XX,2020-02,9367
21XX,2020-03,11150
21XX,2020-04,9822
21XX,2020-05,9757
21XX,2020-06,12483
21XX,2020-07,13685
21XX,2020-08,14905
21XX,2020-09,15961
21XX,2020-10,16616
21XX,2020-11,19167
21XX,2020-12,22830
21XX,2021-01,14067
21XX,2021-02,17628
21XX,2021-03,18028
21XX,2021-04,17451
21XX,2021-05,14474
21XX,2021-06,15809
21XX,2021-07,10098
21XX,2021-08,5994
21XX,2021-09,15410
21XX,2021-10,16223
21XX,2021-11,16413
21XX,2021-12,17963
21XX,2022-01,7633
21XX,2022-02,9567
21XX,2022-03,9088
21XX,2022-04,7977
21XX,2022-05,10143
21XX,2022-06,13737
21XX,2022-07,12206
21XX,2022-08,15527
21XX,2022-09,12602
21XX,2022-10,12178
21XX,2022-11,17110
21XX,2022-12,11882
23XX,2007-01,2
23XX,2007-02,4
23XX,2007-03,4
23XX,2007-04,2
23XX,2007-05,8
23XX,2007-06,5
23XX,2007-07,15
23XX,2007-08,13
23XX,2007-09,12
23XX,2007-10,10
23XX,2007-11,19
23XX,2007-12,16
23XX,2008-01,11
23XX,2008-02,13
23XX,2008-03,16
23XX,2008-04,49
23XX,2008-05,18
23XX,2008-06,21
23XX,2008-07,18
23XX,2008-08,11
23XX,2008-09,18
23XX,2008-10,30
23XX,2008-11,35
23XX,2008-12,34
23XX,2009-01,39
23XX,2009-02,69
23XX,2009-03,139
23XX,2009-04,147
23XX,2009-05,126
23XX,2009-06,123
23XX,2009-07,175
23XX,2009-08,127
23XX,2009-09,159
23XX,2009-10,134
23XX,2009-11,353
23XX,2009-12,257
23XX,2010-01,199
23XX,2010-02,346
23XX,2010-03,521
23XX,2010-04,493
23XX,2010-05,766
23XX,2010-06,981
23XX,2010-07,1091
23XX,2010-08,1534
23XX,2010-09,1716
23XX,2010-10,1834
23XX,2010-11,2132
23XX,2010-12,1381
23XX,2011-01,2328
23XX,2011-02,1986
23XX,2011-03,2653
23XX,2011-04,2333
23XX,2011-05,3043
23XX,2011-06,2897
23XX,2011-07,494
23XX,2011-08,361
23XX,2011-09,511
23XX,2011-10,390
23XX,2011-11,391
23XX,2011-12,532
23XX,2012-01,389
23XX,2012-02,480
23XX,2012-03,690
23XX,2012-04,488
23XX,2012-05,1153
23XX,2012-06,2465
23XX,2012-07,859
23XX,2012-08,1073
23XX,2012-09,1031
23XX,2012-10,1153
23XX,2012-11,1437
23XX,2012-12,2095
23XX,2013-01,1012
23XX,2013-02,1755
23XX,2013-03,1493
23XX,2013-04,1137
23XX,2013-05,1447
23XX,2013-06,1063
23XX,2013-07,1372
23XX,2013-08,1078
23XX,2013-09,1191
23XX,2013-10,1364
23XX,2013-11,1234
23XX,2013-12,1190
23XX,2014-01,817
23XX,2014-02,1130
23XX,2014-03,1150
23XX,2014-04,1226
23XX,2014-05,1957
23XX,2014-06,1475
23XX,2014-07,1792
23XX,2014-08,1517
23XX,2014-09,1851
23XX,2014-10,2002
23XX,2014-11,1807
23XX,2014-12,1623
23XX,2015-01,1340
23XX,2015-02,1895
23XX,2015-03,1906
23XX,2015-04,1305
23XX,2015-05,1427
23XX,2015-06,1566
23XX,2015-07,1412
23XX,2015-08,1638
23XX,2015-09,1592
23XX,2015-10,1559
23XX,2015-11,1510
23XX,2015-12,1619
